name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,pr_path_gap_percent,model,fcf_positive,rank_penalty,screen_rank,stage1_tier
688332,"Shenzhen Bluetrum Technology Co., Ltd. Class A",95.07,16968600868.000002,9.619646055307653,2.979709952331536,36.3336621518597,32.3465664300322,176028820.0,,134131190.87,5.1806051582914705,494.75528319373547,495.24784677467926,0.960423898180288,5432578.666666668,Electronic Technology,Electronic Production Equipment,SSE:688332,A,516475253.8400001,0.26475850452678035,30.975255588405737,0.31055905343064727,14.747774504694933,technology_strict,True,0.0,0.26475850452678035,priority
000807,Yunnan Aluminium Co. Ltd. Class A,27.23,94432481669.0,8.607827021559082,2.4745771953580094,31.873035672668497,23.0309853020037,12728817110.0,,2188432237.63,11.998636627683801,135.39154029176737,135.38953791204702,2.56702166727874,85414999.50000024,Non-Energy Minerals,Aluminum,SZSE:000807,A,2325850436.3850064,0.27006611826875326,28.74798934923073,0.2994236194048618,9.804671119285736,cyclical,True,0.0,0.27006611826875326,priority
300773,"Lakala Payment Co., Ltd. Class A",15.92,16989283049.999998,10.749493585415259,3.7353092305779168,39.6843775216037,15.072683148341701,303746930.0,,44141541.3,13.541774992577304,899.7749951260454,884.0531561461795,2.17928391959799,49964159.79999999,Electronic Technology,Computer Processing Hardware,SZSE:300773,A,795429424.0159998,0.27087469318533125,34.74869956335361,0.3093495215789831,12.437332437841986,technology_strict,True,0.0,0.27087469318533125,priority
688336,"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd. Class A",42.57,38152317723.0,12.397705099455399,4.486445811702067,43.3759904602582,41.5918436129793,2768102300.0,,0.0,257.6287675051025,302.44869615660497,301.226922178079,0.556239135541461,11721180.066666665,Health Technology,Pharmaceuticals: Major,SSE:688336,A,498970635.4379999,0.2858195275290458,36.187711965330955,0.3425943345446326,16.572021569197982,health_special,True,0.0,0.2858195275290458,priority
600066,"Yutong Bus Co., Ltd. Class A",30.06,65078313648.0,12.130261087123198,5.12866884939355,41.9633760115753,17.8256609207609,6742100450.0,,244309885.36999997,13.520491965018078,25.31845967123254,25.32112875493071,8.3166999334664,20027979.466666654,Consumer Durables,Motor Vehicles,SSE:600066,A,602041062.7679995,0.28906780721782616,42.27995434358669,0.28690336296361685,0.7544157837159116,stable_or_general,True,0.0,0.28906780721782616,priority
603444,"G-Bits Network Technology (Xiamen) Co., Ltd. Class A",388.08,27957708945.0,12.428900845503458,4.597758888728027,39.4799594237808,26.12710713473,3034145910.0,,24240639.42,74.27627798657514,109.04808114480116,109.59643422925112,5.05050505050505,2013433.2666666666,Technology Services,Packaged Software,SSE:603444,A,781373182.1279999,0.31481544122400734,36.9924818443733,0.3359845089007982,6.30060824710259,technology_strict,True,0.0,0.31481544122400734,priority
600961,"Zhuzhou Smelter Group Co., Ltd. Class A",28.02,30061896424.0,12.08331536504377,5.1296133567662565,53.679940778415,27.0892523869734,2803095330.0,,1335391190.83,23.464480803310217,148.52706859556076,148.54233654876742,0.0,56002935.1,Non-Energy Minerals,Other Metals/Minerals,SSE:600961,A,1569202241.502,0.2250992678051265,42.452035735207964,0.2846345329682828,20.9163886554097,cyclical,True,0.1,0.32509926780512655,priority
000933,Henan Shenhuo Coal Industary and Electricity Power Corporation Limited Class A,27.59,61511339530.0,8.954012916626098,2.226382511720988,27.513984105269103,11.91854215424,10772467400.0,,14555494887.869999,12.741427207519704,75.24903223916701,76.54844439351402,2.89960130482059,57961662.73333323,Non-Energy Minerals,Aluminum,SZSE:000933,A,1599162274.8126638,0.32543498180299335,24.864633683819793,0.36011038933795997,9.62910500824904,cyclical,True,0.0,0.32543498180299335,priority
601717,ZCZL Industrial Technology Group Company Limited Class A,15.05,25357158551.432533,6.166263776785349,1.086608863407129,18.6112789573059,8.59446747853128,1011940340.0,,11037993010.4,11.69459466263261,9.140089976672494,10.659231048240846,8.30564784053156,19141496.833333332,Producer Manufacturing,Auto Parts: OEM,SSE:601717,A,288079527.34166664,0.3313186477367139,17.621835567559994,0.34992176343631376,5.31636429723974,cyclical,True,0.0,0.3313186477367139,priority
000567,"Hainan Haide Capital Management Co., Ltd. Class A",7.01,13701691511.0,8.647915124599063,1.9715378557768026,25.7252549072037,16.6972786145773,319822130.0,,2695088403.7999997,268.67499496454104,1498.7525623263539,1498.8165680473371,0.0,22489257.266666617,Finance,Investment Managers,SZSE:000567,A,157649693.439333,0.33616440947986237,22.79784002699966,0.37933045912934166,11.379536921067757,financial_special,True,0.0,0.33616440947986237,priority
601899,"Zijin Mining Group Co., Ltd. Class A",34.65,908383751449.0378,14.064212363518287,4.537626945515737,39.5141698448175,13.733808590563,69114516800.0,,173229052074.0,17.01668940250069,68.05463320035699,65.79407806191115,1.73160173160173,293054511.4999999,Non-Energy Minerals,Precious Metals,SSE:601899,A,10154338823.474995,0.35592832694580534,32.263640708996014,0.43591523009976946,18.349187555492662,cyclical,True,0.0,0.35592832694580534,priority
600989,"Ningxia Baofeng Energy Group Co., Ltd. Class A",24.49,179593981373.0,11.563887052601757,3.217660475724992,30.7483014005767,16.6197878112591,12334037720.0,,27734987593.34,42.437252840155466,75.53613281422017,76.6157951797181,3.15271539403838,82085368.6,Process Industries,Chemicals: Specialty,SSE:600989,A,2010270677.0139997,0.37608214196784445,27.82507699261081,0.4155922751147336,9.506945993156757,cyclical,True,0.0,0.37608214196784445,priority
002532,"Tianshan Aluminum Group Co., Ltd. Class A",13.17,60960470656.0,8.746762303247658,1.8825930897255017,23.0433108774827,12.9169761426576,7289359630.0,,13565658503.74,6.929436125348134,54.74782417100479,55.435119231960364,4.17615793470008,102484375.13333336,Non-Energy Minerals,Aluminum,SZSE:002532,A,1349719220.5060003,0.37957923450118264,21.523313706907274,0.40638548609922653,6.596262050436186,cyclical,True,0.0,0.37957923450118264,priority
002170,"Shenzhen Batian Ecological Technique Co., Ltd. Class A",11.91,11557418346.0,10.908591317091041,3.0055872125008203,28.1424419779659,17.0547011318505,1261128780.0,,1310188461.02,19.7079912720043,48.02381165345126,43.41258373834233,6.12930310663308,19585998.90000001,Process Industries,Chemicals: Agricultural,SZSE:002170,A,233269246.8990001,0.38762063809643504,27.552477906031875,0.3959205177223969,2.096349962792632,cyclical,True,0.0,0.38762063809643504,priority
002611,"Guangdong Dongfang Precision Science & Technology Co., Ltd. Class A",14.9,17793441817.0,4.290856731461483,1.8841274277108357,56.30350236235601,41.1593284611644,841444720.0,,383526407.31,-0.31799421773769865,468.563774839886,466.75371307328214,0.281879194630873,28382267.033333506,Producer Manufacturing,Industrial Machinery,SZSE:002611,A,422895778.79666924,0.0762094106303822,43.91028518607971,0.09771871699940031,22.011449832226216,cyclical,True,0.32999999999999996,0.4062094106303822,priority
002847,Yankershop Food Co. Ltd. Class A,45.42,12027058330.0,15.429037298729535,5.842897830332127,37.44584590495,19.198646413515,438642260.0,,1214645263.3700001,1.837936822751901,15.536413454631331,4.3013038548752816,3.08234258036107,4460636.633333333,Consumer Non-Durables,Food: Major Diversified,SZSE:002847,A,202602115.88599998,0.41203601964003056,37.86949060530981,0.40742658673539633,1.131352998234214,stable_or_general,True,0.0,0.41203601964003056,priority
002648,Satellite Chemical Co. Ltd. Class A,28.38,95541388342.0,10.832888006718068,2.5037185248704468,25.4290158398774,11.7413070343298,12548159240.0,,26766214478.329998,7.268363633239024,30.09342090629934,30.481123617890233,1.76180408738548,50937150.99999996,Process Industries,Chemicals: Specialty,SZSE:002648,A,1445596345.379999,0.42600500447721207,23.112197996672297,0.46870868829861145,9.110922175650627,cyclical,True,0.0,0.42600500447721207,priority
605599,"Beijing Caishikou Department Store Co., Ltd. Class A",16.45,12794445930.0,11.514769704605907,2.8926637124569177,26.605560253934403,13.5312390809598,1043080240.0,,155569572.35,41.332755362045255,42.82847173132896,42.83143371325736,4.74164133738602,11267886.666666666,Retail Trade,Specialty Stores,SSE:605599,A,185356735.66666666,0.43279561094388586,25.12133361468664,0.45836617916948674,5.578633282222567,stable_or_general,True,0.0,0.43279561094388586,priority
603993,CMOC Group Limited Class A,19.51,400615239624.39435,14.93074156271524,4.632003798670466,34.2453311488368,13.6036308848791,17682221110.0,,47254665612.850006,20.610659510924727,65.73107931035365,66.45859872611464,1.46591491542799,259633690.20000044,Distribution Services,Wholesale Distributors,SSE:603993,A,5065453295.802009,0.43599349347282884,31.023266856600188,0.48127560620001986,9.408769558200214,stable_or_general,True,0.0,0.43599349347282884,priority
000792,"Qinghai Salt Lake Industry Co., Ltd. Class A",28.38,145113684273.0,12.38165874089263,3.1449293831483645,27.9376308241854,21.9258337946868,9003523450.0,,1302593856.42,48.33508368601865,144.2435505117396,145.43312988542672,0.0,67522396.43333343,Process Industries,Chemicals: Agricultural,SZSE:000792,A,1916285610.7780025,0.44318928898487414,25.399903590959713,0.4874687298143717,9.08354487607015,cyclical,True,0.0,0.44318928898487414,priority
002668,"Guangdong TCL Smart Home Appliances Co., Ltd. Class A",9.35,10136442473.0,10.171888598781548,2.6478400987771793,28.90820095028,6.05686233298588,1479687900.0,,5129086626.04,0.6009284337096154,-9.280770751900558,-9.277536517962897,2.17957219251337,25258601.033333216,Consumer Durables,Electronics/Appliances,SZSE:002668,A,236167919.66166556,0.3518686139022091,26.030958489796618,0.3907612008512339,9.953031893724662,stable_or_general,True,0.1,0.4518686139022091,priority
000612,"Jiaozuo Wanfang Aluminum Manufacturing Co., Ltd. Class A",11.46,13662604491.0,9.618128409567772,1.772939924255551,20.1399687797293,16.4919958515965,1619490670.0,,660498386.29,2.1126432806535527,133.13586432962003,133.12463314419878,2.83595113438045,35648265.56666664,Non-Energy Minerals,Aluminum,SZSE:000612,A,408529123.39399976,0.47756421644746205,18.43331518106884,0.521779631883345,8.473963476935452,cyclical,True,0.0,0.47756421644746205,priority
300573,"Shenyang Xingqi Pharmaceutical Co., Ltd. Class A",39.15,13799897633.0,18.487037824054397,6.402069593685253,38.5083440892744,29.9816281826957,507401410.0,,80939162.46000001,23.481256816994982,68.37952991755735,67.57933053731108,2.44797956577267,8377702.233333333,Health Technology,Pharmaceuticals: Major,SZSE:300573,A,327987042.435,0.480078753352667,34.630045411359546,0.5338438804931562,10.071320306382814,health_special,True,0.0,0.480078753352667,priority
605499,Eastroc Beverage (Group) Co. Ltd. Class A,120.81,81732272306.67874,17.149549293775287,4.510212096821161,34.7901112009922,16.7155232750374,4888065410.0,,6059043393.62,20.743504365935337,23.582905520871936,27.145564479740102,2.81629831967552,8804830.500000002,Consumer Non-Durables,Beverages: Non-Alcoholic,SSE:605499,A,1063711572.7050003,0.49294321580915756,26.299303961639488,0.6520913754519833,24.405806553186736,stable_or_general,True,0.0,0.49294321580915756,priority
601168,"Western Mining Co., Ltd. Class A",39.12,93222957455.0,15.686903520731414,4.158048353255543,30.460052959274105,9.75410895926303,2120189210.0,,27382869773.0,22.663573583015783,86.86095948710813,86.85748538888055,0.255623721881391,76103241.06666666,Non-Energy Minerals,Other Metals/Minerals,SSE:601168,A,2977158790.528,0.5149992201820929,26.506495356208262,0.5918135653138045,12.979483680976688,cyclical,True,0.0,0.5149992201820929,priority
688578,Shanghai Allist Pharmaceuticals Co. Ltd. Class A,113.7,51164998627.0,19.1008970869872,6.0463993346301805,36.7115747778828,32.6328785854394,2631107510.0,,4257814.08,40.8281095612533,46.78027400862699,46.78206835330672,0.879507475813544,9654733.533333333,Health Technology,Pharmaceuticals: Major,SSE:688578,A,1097743202.74,0.5202963153325336,31.655054247422697,0.6034074981420183,13.773641041153194,health_special,True,0.0,0.5202963153325336,priority
603605,"Proya Cosmetics Co., Ltd. Class A",61.35,24265266802.0,13.240530916154096,3.578983230407182,30.029211999615,19.4694412703874,1741721450.0,,929364858.36,-4.744642787298599,13.23970257740186,10.471353980401963,3.2599837000815,5815974.633333329,Consumer Non-Durables,Household/Personal Care,SSE:603605,A,356810043.75499976,0.4409216903967993,27.030511488331992,0.489836491694562,9.98594472382911,stable_or_general,True,0.08,0.5209216903967993,priority
002192,"YOUNGY Co., Ltd. Class A",74.43,19326137538.0,16.17305143304144,4.249893509990647,30.0705631930238,22.6263822190295,327076840.0,,181821355.69,235.61857431040752,787.3280335611763,787.2373240794293,0.295579739352412,21254365.833333332,Non-Energy Minerals,Construction Materials,SZSE:002192,A,1581962448.9750001,0.5378366653536272,26.27762316583092,0.6154685806618703,12.613465211296138,cyclical,True,0.0,0.5378366653536272,priority
300628,Yealink Network Technology Co. Ltd. Class A,40.2,50750400670.0,17.659462308908804,5.5210831211424525,32.3973539415752,29.322775125903398,1812548340.0,,5716193.569999999,20.59785435142559,14.131107312377456,14.185393258426974,4.47761194029851,15516174.300000003,Electronic Technology,Telecommunications Equipment,SZSE:300628,A,623750206.8600001,0.5450896496286567,31.264163226290243,0.5648467921910939,3.497787866652724,technology_strict,True,0.0,0.5450896496286567,priority
