序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
52,600276,恒瑞医药,27,21.0,5.0,1.0,0.0,0.0,1.161793370452,1.402444444444,1.640666666667,1.965153846154
53,301498,乖宝宠物,27,17.0,10.0,0.0,0.0,0.0,1.680873156567,1.587357142857,1.999785714286,2.436576923077
54,600415,小商品城,27,22.0,4.0,1.0,0.0,0.0,0.766572726531,0.94864,1.10828,1.253958333333
55,601100,恒立液压,27,20.0,7.0,0.0,0.0,0.0,2.039139514994,2.54962962963,3.186653846154,3.839
56,002956,西麦食品,26,18.0,8.0,0.0,0.0,0.0,0.5494037195,0.904615384615,1.130384615385,1.3556
57,601628,中国人寿,26,20.0,6.0,0.0,0.0,0.0,5.451250950611,5.562608695652,5.77347826087,6.253181818182
58,603317,天味食品,26,18.0,8.0,0.0,0.0,0.0,0.536412099834,0.671192307692,0.770230769231,0.856615384615
59,300866,安克创新,26,21.0,5.0,0.0,0.0,0.0,4.328055763719,5.860230769231,7.197269230769,8.66452
60,002557,洽洽食品,26,19.0,7.0,0.0,0.0,0.0,0.629520283091,1.252461538462,1.476461538462,1.67388
61,600030,中信证券,26,19.0,7.0,0.0,0.0,0.0,1.92496012252,2.5632,2.7832,3.078260869565
62,600882,妙可蓝多,26,16.0,10.0,0.0,0.0,0.0,0.233047268122,0.670384615385,0.908461538462,1.142
63,002850,科达利,26,21.0,5.0,0.0,0.0,0.0,6.160781563715,8.054416666667,10.621666666667,13.238818181818
64,600309,万华化学,26,22.0,4.0,0.0,0.0,0.0,4.001697696317,6.026153846154,6.895,7.8272
65,300896,爱美客,26,18.0,7.0,1.0,0.0,0.0,4.266528599506,4.380518518519,4.917962962963,5.522
66,001979,招商蛇口,26,19.0,7.0,0.0,0.0,0.0,0.113551538105,0.168461538462,0.239230769231,0.3128
67,002126,银轮股份,26,21.0,5.0,0.0,0.0,0.0,1.130396343376,1.4255,1.881807692308,2.386181818182
68,603198,迎驾贡酒,26,20.0,6.0,0.0,0.0,0.0,2.4820567401,2.602307692308,2.865961538462,3.1938
69,603983,丸美生物,25,11.0,14.0,0.0,0.0,0.0,0.616556461322,0.82,1.01,1.1784
70,002372,伟星新材,25,17.0,8.0,0.0,0.0,0.0,0.465301389052,0.5064,0.55,0.609583333333
71,000001,平安银行,25,13.0,11.0,1.0,0.0,0.0,2.196907127249,2.1776,2.2564,2.351304347826
72,600096,云天化,25,20.0,5.0,0.0,0.0,0.0,2.828343313162,2.8832,3.0712,3.235833333333
73,600315,上海家化,25,17.0,8.0,0.0,0.0,0.0,0.398052082456,0.6422,0.79112,0.950913043478
74,601601,中国太保,25,21.0,4.0,0.0,0.0,0.0,5.56165290497,5.915695652174,6.431652173913,7.013272727273
75,002371,北方华创,25,22.0,3.0,0.0,0.0,0.0,7.609308509566,10.050833333333,14.253333333333,19.20347826087
76,605117,德业股份,25,17.0,8.0,0.0,0.0,0.0,2.490233527312,5.296208333333,6.581130434783,7.873956521739
77,002353,杰瑞股份,25,19.0,6.0,0.0,0.0,0.0,2.618019640369,3.5178,6.90144,9.575476190476
78,601336,新华保险,25,20.0,5.0,0.0,0.0,0.0,11.631177428156,12.016363636364,12.812272727273,14.057142857143
79,300498,温氏股份,25,17.0,8.0,0.0,0.0,0.0,0.791474567345,-0.04532,1.65968,1.766583333333
80,002001,新和成,24,18.0,6.0,0.0,0.0,0.0,2.20086923617,2.682083333333,2.90625,3.163181818182
81,603486,科沃斯,24,19.0,5.0,0.0,0.0,0.0,3.034816491841,3.698333333333,4.35875,5.179130434783
82,003000,劲仔食品,24,19.0,5.0,0.0,0.0,0.0,0.538344961883,0.58428,0.70668,0.836
83,002078,太阳纸业,24,20.0,4.0,0.0,0.0,0.0,1.138894798554,1.32225,1.463291666667,1.600826086957
84,000786,北新建材,24,14.0,10.0,0.0,0.0,0.0,1.707389703866,1.908958333333,2.187125,2.484434782609
85,300759,康龙化成,24,18.0,6.0,0.0,0.0,0.0,0.905629840751,1.094583333333,1.39125,1.72
