name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,extreme_roe_review_required,roe_reliability_precheck,rank_penalty,screen_rank,stage1_tier,history_type,cycle_phase_status,history_years,history_status,historical_neutral_roe,historical_neutral_roa,historical_bear_roe,historical_bear_roa,bear_anchor_source,historical_neutral_pr,historical_bear_pr,historical_pr_path,weak_years,market_normalized_neutral_pr,market_normalized_bear_pr,stage2_rank,stage2_tier
ATMU,Atmus Filtration Technologies Inc.,48.02,3918216745.959457,18.36539564768425,8.61509094105785,55.7904292569057,13.4257092032581,190400000.0,,1056400000.0,13.050464175196383,14.111405835543769,15.536211391454197,0.470219435736677,649249.1,Producer Manufacturing,Auto Parts: OEM,NYSE:ATMU,US,31176941.782,0.3291854157119788,46.909367520999496,0.3915080637031137,1.0,0.3291854157119788,15.918611586604548,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.3291854157119788,priority,cyclical,provisional_equal_weight,4,short_history,80.12180123361,16.90570952924,55.31211801026666,18.298095788766666,weak_history,0.1342018361371767,0.2815913362333255,pb,"2022,2023",0.1342018361371767,0.2815913362333255,0.21526606119005853,cycle_research_required
HAFN,Hafnia Limited,9.1174,4492649489.90702,7.13279895061377,1.7223625314083206,25.8610077053471,16.7647363703509,520347642.87779987,,883908344.1641848,5.066237788199953,39.92808080646917,41.71142138193912,8.53954337349398,1211045.3333333333,Transportation,Marine Shipping,NYSE:HAFN,US,11041584.722133333,0.2758128775136234,24.14707807318911,0.2953897332420286,1.0,0.2758128775136234,6.627466538373172,cyclical,True,False,not_triggered,0.0,0.2758128775136234,priority,cyclical,provisional_equal_weight,2,short_history,21.354944271566666,12.802702347866665,21.354944271566666,12.802702347866665,weak_history,0.37768321501939306,0.37768321501939306,pb,"2024,2025",0.37768321501939306,0.37768321501939306,0.37768321501939306,cycle_research_required
000651,"Gree Electric Appliances, Inc. of Zhuhai Class A",38.98,206552855170.0,7.791480941054187,1.4659723669097915,19.6322235112199,6.96422965064431,44372749650.0,,106263968359.09,-12.915115176127786,-14.148026898616642,-15.137482401234871,7.74393391843056,47070122.16666665,Producer Manufacturing,Industrial Machinery,SZSE:000651,A,1834793362.056666,0.3968720576454991,18.815067097006153,0.4141085918473267,1.0,0.3968720576454991,4.162322284822917,cyclical,True,False,not_triggered,0.18,0.5768720576454991,priority,cyclical,provisional_equal_weight,10,usable,24.99328571428571,8.382754457614285,19.6322235112199,6.96422965064431,current_ttm,0.23468161933336545,0.38035296354788517,pb,"2020,2021,2022,2025",0.23468161933336545,0.38035296354788517,0.4448008586513513,cycle_research_required
ECO,Okeanis Eco Tankers Corp.,71.085,2726021687.7845745,6.6286518897043045,3.1629081223800943,61.5919910455297,29.4350134271386,44692060.0,,722493783.004812,105.24219735077509,498.5632077171379,413.8920835729346,13.7291546866015,527842.9333333333,Transportation,Marine Shipping,NYSE:ECO,US,37521714.916,0.1076219777471442,47.71570713032553,0.1389197035600776,1.0,0.1076219777471442,22.52936409369627,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.1076219777471442,priority,cyclical,provisional_equal_weight,3,short_history,27.19818680348333,10.7620197568,25.640939505720002,10.401941284000001,weak_history,0.4275694547217724,0.4810815575809294,pb,"2024,2025",0.4275694547217724,0.4810815575809294,0.45700111129430876,cycle_research_required
OGC,OceanaGold Corporation,30.19,6715690538.037344,8.176856273671985,2.651322413226881,37.6100485264861,26.9038269395039,705945475.8399999,,50039880.0,49.39741703752898,118.47789178000195,128.69531122729933,0.976230205625148,517906.3000000002,Non-Energy Minerals,Precious Metals,NYSE:OGC,US,15635591.197000008,0.2174114789539184,32.424715862545675,0.2521797356169652,1.0,0.2174114789539184,13.787093787684878,cyclical,True,False,not_triggered,0.0,0.2174114789539184,priority,cyclical,provisional_equal_weight,2,short_history,24.02623846846667,17.123880769333333,24.02623846846667,17.123880769333333,weak_history,0.4592942163736625,0.4592942163736625,pb,"2024,2025",0.4592942163736625,0.4592942163736625,0.4592942163736625,cycle_research_required
603195,"Goneo Group Co., Ltd.Class A",39.3,69512118086.0,17.05285082009893,4.666222603752212,27.844662883921306,19.9776811559371,4734890460.0,,1148467472.67,-1.9696129451374973,1.6832950937470084,1.533174729051025,4.92610837438424,4468924.800000007,Producer Manufacturing,Electrical Products,SSE:603195,A,175628744.64000028,0.6124279863322021,27.363299268720993,0.6232015610629253,1.0,0.6124279863322021,1.7287464287393584,cyclical,True,True,not_triggered,0.08,0.692427986332202,watch,cyclical,provisional_equal_weight,10,usable,35.98871428571428,24.468389257062853,26.64852941176471,20.12131880084706,weak_history,0.36027389101727825,0.6570810732056349,pb,"2020,2021,2022,2025",0.36027389101727825,0.6570810732056349,0.5735178412208745,cycle_research_required
HON,Honeywell International Inc.,207.53,65774560253.010735,7.673762484238706,3.5482850069784253,49.8960498960499,11.0937770844167,4148000000.0,,34955000000.0,-2.4080418094071168,50.83085534371173,53.73390557939914,3.77594759909454,2940650.3666666625,Producer Manufacturing,Industrial Machinery,NASDAQ:HON,US,610273170.5943325,0.153794989788284,46.239182073543695,0.1659580066107904,1.0,0.153794989788284,7.328972594272853,cyclical,True,True,review_high_roa_supports_follow_up,0.08,0.233794989788284,priority,cyclical,provisional_equal_weight,10,usable,29.925779456095714,8.09824748074857,23.59775082477619,7.047545476990476,weak_history,0.39621193556778844,0.6372022111880139,pb,"2016,2017,2020,2022",0.39621193556778844,0.6372022111880139,0.5787565871589125,cycle_research_required
2510,T.S. Lines Limited,13.94,23476937818.0,7.967080070869291,1.3533928023580493,17.8216748712375,14.3158259525383,1337693420.0,,1309951716.1,,,,5.53191489361702,4221169.1,Transportation,Marine Shipping,HKEX:2510,HK,58843097.25399999,0.4470444067929555,16.98731267063041,0.4690017912393925,0.8,0.5588055084911944,4.6817272037303015,cyclical,True,True,not_triggered,0.0,0.5588055084911944,priority,cyclical,provisional_equal_weight,6,short_history,31.518152664668523,22.368434118456904,13.218335573677534,11.1710598898074,weak_history,0.1362392841137525,0.7745872004520269,pb,"2023,2024,2025",0.1702991051421906,0.9682340005650336,0.6091632976247543,cycle_research_required
603271,"Yong Jie New Material Co., Ltd. Class A",41.04,8256284786.0,10.867492850333653,2.398364623888039,24.2975812058612,12.3066832678416,284932410.0,,3283407452.18,46.01093684339146,110.22879275763552,110.04505256132155,1.52387808975282,2022930.6333333333,Non-Energy Minerals,Aluminum,SSE:603271,A,83021073.192,0.447266448386728,22.06916219700485,0.4924288812290549,1.0,0.447266448386728,9.171361502925224,cyclical,True,True,not_triggered,0.0,0.447266448386728,priority,cyclical,provisional_equal_weight,7,short_history,26.145,9.09371031017857,16.95,8.543544233061537,weak_history,0.35086327864992584,0.834787244763982,pb,"2019,2023,2025",0.35086327864992584,0.834787244763982,0.6170214600126568,cycle_research_required
1882,Haitian International Holdings Limited,18.0,28791841461.0,8.110665525165592,1.07005915049193,14.017008583516304,9.01325015859404,2419436530.0,,4147737609.16821,7.743758989509695,0.3293853329564221,0.3300180831826338,4.43458980044346,3169520.2333333334,Producer Manufacturing,Industrial Machinery,HKEX:1882,HK,57051364.2,0.5786302745582648,13.193234848259667,0.614759429241531,0.8,0.7232878431978309,5.876958199379089,cyclical,True,False,not_triggered,0.0,0.7232878431978309,watch,cyclical,provisional_equal_weight,9,short_history,15.639588644366068,10.069409755270778,14.017008583516304,9.01325015859404,current_ttm,0.4374789219466465,0.5446244151935229,pb,"2019,2022,2023,2025",0.546848652433308,0.6807805189919036,0.6205111790405357,cycle_research_required
