序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
52,689009,九号公司,27,20.0,7.0,0.0,0.0,0.0,2.389311849679,2.795888888889,3.724111111111,4.63232
53,688041,海光信息,27,22.0,5.0,0.0,0.0,0.0,1.094888439627,1.918214285714,2.93,4.186296296296
54,688012,中微公司,27,21.0,6.0,0.0,0.0,0.0,2.204405552583,4.728185185185,5.945111111111,7.630615384615
55,600276,恒瑞医药,27,21.0,5.0,1.0,0.0,0.0,1.161793370452,1.400222222222,1.639555555556,1.964384615385
56,301498,乖宝宠物,27,17.0,10.0,0.0,0.0,0.0,1.680873156567,1.481071428571,1.893785714286,2.315230769231
57,601100,恒立液压,27,20.0,7.0,0.0,0.0,0.0,2.039139514994,2.544814814815,3.180884615385,3.8346
58,600030,中信证券,26,19.0,7.0,0.0,0.0,0.0,1.92496012252,2.6028,2.8276,3.083043478261
59,002126,银轮股份,26,21.0,5.0,0.0,0.0,0.0,1.130396343376,1.407807692308,1.881846153846,2.411652173913
60,601628,中国人寿,26,20.0,6.0,0.0,0.0,0.0,5.451250950611,5.684782608696,5.873913043478,6.359090909091
61,600258,首旅酒店,26,15.0,11.0,0.0,0.0,0.0,0.726432090528,0.829538461538,0.929038461538,1.029416666667
62,601088,中国神华,26,20.0,6.0,0.0,0.0,0.0,2.436624176512,2.784615384615,2.871153846154,2.9684
63,688271,联影医疗,26,18.0,8.0,0.0,0.0,0.0,2.268134062725,2.778888888889,3.469259259259,4.287307692308
64,002557,洽洽食品,26,19.0,7.0,0.0,0.0,0.0,0.629520283091,1.247076923077,1.473769230769,1.67348
65,600882,妙可蓝多,26,16.0,10.0,0.0,0.0,0.0,0.233047268122,0.670384615385,0.908461538462,1.1424
66,300866,安克创新,26,21.0,5.0,0.0,0.0,0.0,4.328055763719,6.042,7.296,8.844692307692
67,002371,北方华创,26,22.0,4.0,0.0,0.0,0.0,7.609308509566,10.0336,14.3584,19.635833333333
68,601689,拓普集团,26,21.0,5.0,0.0,0.0,0.0,1.599156522817,1.817730769231,2.221730769231,2.67888
69,002956,西麦食品,26,18.0,8.0,0.0,0.0,0.0,0.5494037195,0.901923076923,1.127692307692,1.3532
70,002353,杰瑞股份,26,19.0,7.0,0.0,0.0,0.0,2.618019640369,3.515576923077,6.942538461538,9.608863636364
71,002850,科达利,26,21.0,5.0,0.0,0.0,0.0,6.160781563715,8.054416666667,10.621666666667,13.238818181818
72,600309,万华化学,26,22.0,4.0,0.0,0.0,0.0,4.001697696317,6.032692307692,6.908846153846,7.8024
73,300896,爱美客,26,18.0,7.0,1.0,0.0,0.0,4.266528599506,4.380518518519,4.917962962963,5.522
74,001979,招商蛇口,26,19.0,7.0,0.0,0.0,0.0,0.113551538105,0.163846153846,0.231923076923,0.3
