symbol,error
OTC:RBGLY,OTC:RBGLY: 'NoneType' object is not subscriptable
OTC:KXHCF,OTC:KXHCF: 'NoneType' object is not subscriptable
OTC:TGOPY,OTC:TGOPY: 'NoneType' object is not subscriptable
NYSE:BCAT,NYSE:BCAT: 'NoneType' object is not subscriptable
OTC:SFTBY,OTC:SFTBY: 'NoneType' object is not subscriptable
