name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,extreme_roe_review_required,roe_reliability_precheck,rank_penalty,screen_rank,stage1_tier
600132,Chongqing Brewery Co.Ltd Class A,39.98,19112023161.0,16.65416979088561,12.215653024122705,72.5614725824339,9.40469682086705,2306202250.0,,120019179.32000001,-1.1255032737281108,7.749430700026232,7.746858168761205,6.33071663712332,4121401.3,Consumer Non-Durables,Beverages: Alcoholic,SSE:600132,A,164773623.97399998,0.22951807892219306,73.34891608231358,0.2270540681500457,1.0,0.22951807892219306,1.0852088193016085,stable_or_general,True,True,review_possible_equity_or_leverage_distortion,0.08,0.3095180789221931,priority
000612,"Jiaozuo Wanfang Aluminum Manufacturing Co., Ltd. Class A",11.03,13448008246.0,7.448676391139925,1.6243233213362158,23.9851342465253,20.5343293820202,1793464910.0,,299027706.75,11.182665610819303,130.76432822633265,130.76203833567084,2.88120567375887,34400268.89999999,Non-Energy Minerals,Aluminum,SZSE:000612,A,379434965.9669999,0.3105538753538145,21.806871933224553,0.34157472992681986,1.0,0.3105538753538145,9.08171824644386,cyclical,True,False,not_triggered,0.0,0.3105538753538145,priority
000933,Henan Shenhuo Coal Industary and Electricity Power Corporation Limited Class A,27.36,62091004708.0,8.879369097458865,2.207822599517442,27.513984105269103,11.91854215424,10772467400.0,,14555494887.869999,12.741427207519704,75.24903223916701,76.54844439351402,2.87253141831239,51231841.03333323,Non-Energy Minerals,Aluminum,SZSE:000933,A,1401703170.671997,0.3227220406716165,24.86463368381979,0.35710838174289905,1.0,0.3227220406716165,9.62910500824904,cyclical,True,False,not_triggered,0.0,0.3227220406716165,priority
603444,"G-Bits Network Technology (Xiamen) Co., Ltd. Class A",399.9,27444776668.0,12.807455803228285,4.737795762735359,39.4799594237808,26.12710713473,3034145910.0,,24240639.42,74.27627798657514,109.04808114480116,109.59643422925112,5.14489710205796,2026329.3,Technology Services,Packaged Software,SSE:603444,A,810329087.0699999,0.324403975843848,36.9924818443733,0.3462178033122789,1.0,0.324403975843848,6.300608247102602,technology_strict,True,False,not_triggered,0.0,0.324403975843848,priority
601899,"Zijin Mining Group Co., Ltd. Class A",33.35,870890840238.7916,13.53655071640216,4.36738408753102,39.5141698448175,13.733808590563,69114516800.0,,173229052074.0,17.01668940250069,68.05463320035699,65.79407806191115,2.40168117682378,261534694.0999999,Non-Energy Minerals,Precious Metals,SSE:601899,A,8722182048.234997,0.3425745946217203,32.26364070899602,0.4195605461422023,1.0,0.3425745946217203,18.34918755549265,cyclical,True,False,not_triggered,0.0,0.3425745946217203,priority
002259,"Sichuan Shengda Forestry Industry Co., Ltd. Class A",4.27,3219965055.0,15.499092558983664,6.8243567204730695,56.11051975671361,25.3731596909565,14477040.0,,37482650.82,-0.8106703553605343,198.32393132357865,198.48320693391122,0.0,16647411.00000001,Utilities,Gas Distributors,SZSE:002259,A,71084444.97000003,0.27622436267183575,44.03068563209206,0.35200661394395927,1.0,0.27622436267183575,21.528644141950217,cyclical,True,True,review_high_roa_supports_follow_up,0.08,0.35622436267183577,priority
600989,"Ningxia Baofeng Energy Group Co., Ltd. Class A",24.4,178787307312.0,11.521390121824535,3.2058356720167334,30.7483014005767,16.6197878112591,12334037720.0,,27734987593.34,42.437252840155466,75.53613281422017,76.6157951797181,3.16694011484824,72248183.56666666,Process Industries,Chemicals: Specialty,SSE:600989,A,1762855679.0266664,0.3747000516135322,27.825076992610814,0.4140649862310942,1.0,0.3747000516135322,9.506945993156734,cyclical,True,False,not_triggered,0.0,0.3747000516135322,priority
002532,"Tianshan Aluminum Group Co., Ltd. Class A",13.13,61608495468.0,8.720196586305374,1.8768752671295246,23.0433108774827,12.9169761426576,7289359630.0,,13565658503.74,6.929436125348134,54.74782417100479,55.435119231960364,6.38617580766341,89410260.53333335,Non-Energy Minerals,Aluminum,SZSE:002532,A,1173956720.802667,0.37842637425972125,21.523313706907274,0.40515120975572094,1.0,0.37842637425972125,6.596262050436175,cyclical,True,False,not_triggered,0.0,0.37842637425972125,priority
002170,"Shenzhen Batian Ecological Technique Co., Ltd. Class A",11.73,11285707675.0,10.743725957135005,2.9601627206242336,28.1424419779659,17.0547011318505,1261128780.0,,1310188461.02,19.7079912720043,48.02381165345126,43.41258373834233,6.27687016337059,19700305.96666668,Process Industries,Chemicals: Agricultural,SZSE:002170,A,231084588.98900017,0.38176239167684156,27.55247790603187,0.3899368323160131,1.0,0.38176239167684156,2.096349962792643,cyclical,True,False,not_triggered,0.0,0.38176239167684156,priority
605599,"Beijing Caishikou Department Store Co., Ltd. Class A",14.9,11526667233.0,10.429791404171915,2.620102693957938,26.605560253934403,13.5312390809598,1043080240.0,,155569572.35,41.332755362045255,42.82847173132896,42.83143371325736,5.26315789473684,11282621.133333333,Retail Trade,Specialty Stores,SSE:605599,A,168111054.88666666,0.39201547738990267,25.121333614686648,0.4151766607674985,1.0,0.39201547738990267,5.578633282222533,stable_or_general,True,False,not_triggered,0.0,0.39201547738990267,priority
